id,name,value_id,value_name,value_struct,values,value_type,site_id,title,seller_id,category_id,official_store_id,price,base_price,original_price,currency_id,initial_quantity,catalog_product_id
MLA1867521508,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1469 3ra Generación,115431977,MLA352001,,58000.0,58000.0,,ARS,1,MLA6253545
MLA2016882872,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 3gen Full Hd 8gb *no Funciona*,52104263,MLA352001,,15000.0,15000.0,,ARS,1,MLA6253545
MLA1448835555,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1469 Estándar 3,43381121,MLA352001,,80000.0,80000.0,,ARS,1,MLA6253545
MLA1398421729,Tiempo de garantía,,12 meses,"{'number': 12, 'unit': 'meses'}","[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]",number_unit,MLA,Sensor Xiaomi De Puerta Y Ventana App Mi Smart Home,666749750,MLA4625,74466,20049.0,20049.0,,ARS,13,MLA28699462
MLA1398421729,Facturación,6891885,Factura A,,"[{'id': '6891885', 'name': 'Factura A', 'struct': None}]",list,MLA,Sensor Xiaomi De Puerta Y Ventana App Mi Smart Home,666749750,MLA4625,74466,20049.0,20049.0,,ARS,13,MLA28699462
MLA1398421729,Tipo de garantía,2230279,Garantía de fábrica,,"[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]",list,MLA,Sensor Xiaomi De Puerta Y Ventana App Mi Smart Home,666749750,MLA4625,74466,20049.0,20049.0,,ARS,13,MLA28699462
MLA1407486187,Tipo de garantía,2230279,Garantía de fábrica,,"[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]",list,MLA,Foco Led Con Wi-fi Xiaomi Mi Led Essential Bombilla Color Rgb 9w 220v,448487402,MLA377395,,43999.0,43999.0,,ARS,7,MLA44118606
MLA1407486187,Tiempo de garantía,,6 meses,"{'number': 6, 'unit': 'meses'}","[{'id': None, 'name': '6 meses', 'struct': {'number': 6, 'unit': 'meses'}}]",number_unit,MLA,Foco Led Con Wi-fi Xiaomi Mi Led Essential Bombilla Color Rgb 9w 220v,448487402,MLA377395,,43999.0,43999.0,,ARS,7,MLA44118606
MLA1407486187,Facturación,6891885,Factura A,,"[{'id': '6891885', 'name': 'Factura A', 'struct': None}]",list,MLA,Foco Led Con Wi-fi Xiaomi Mi Led Essential Bombilla Color Rgb 9w 220v,448487402,MLA377395,,43999.0,43999.0,,ARS,7,MLA44118606
MLA1458715613,Tipo de garantía,2230280,Garantía del vendedor,,"[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]",list,MLA,Xiaomi Smart Camara C500 Pro 3k  Wi-fi Doble Banda  Monitoreo  Vigilancia  Baby Call  Visión Nocturna  Domo 360  Alexagoogle Home Color Blanco  Mjsxj16cm,257077964,MLA417835,52187,169999.0,169999.0,,ARS,100,MLA35961103
